uid,domainID,siteID,namedLocation,aquaticSiteType,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,geodeticDatum,startDate,endDate,reachID,samplingProtocolVersion,samplingImpractical,reachCondition,measuredReachLength,fixedRandomReach,identifiedBy,aCollectedBy,bCollectedBy,cCollectedBy,remarks
"acd1f294-e1b9-4d5c-91b8-45a2aa46bd86","D05","CRAM","CRAM.AOS.riparian.point.05","lake",46.208228,-89.471270,0.1,510.4,0.1,"WGS84","2017-10-09","2017-10-09","CRAM.20171009.05","NEON.DOC.001295vD",,,,"random","jhudson@neoninc.org","kstyers@battelleecology.org","shoffman@field-ops.org","radams@battelleecology.org",
"e47480e7-6ea4-475f-a62d-59bdde34acae","D05","CRAM","CRAM.AOS.riparian.point.05","lake",46.208228,-89.471270,0.1,510.4,0.1,"WGS84","2017-10-09","2017-10-09","CRAM.20171009.05","NEON.DOC.001296vC",,,,"random","jhudson@battelleecology.org",,,,
"ebeb33ff-bee3-4ea8-bd03-21183a15f91b","D05","CRAM","CRAM.AOS.riparian.point.03","lake",46.211728,-89.470910,0.1,510.6,0.1,"WGS84","2017-10-09","2017-10-09","CRAM.20171009.03","NEON.DOC.001295vD",,,,"fixed","jhudson@neoninc.org","hbeeler@battelleecology.org","shoffman@field-ops.org","radams@battelleecology.org",
"4f1eb399-48dc-46cd-bd09-9949c4ad6687","D05","CRAM","CRAM.AOS.riparian.point.03","lake",46.211728,-89.470910,0.1,510.6,0.1,"WGS84","2017-10-09","2017-10-09","CRAM.20171009.03","NEON.DOC.001296vC",,,,"fixed","jhudson@battelleecology.org","shoffman@battelleecology.org","kstuers@battelleecology.org","radams@battelleecology.org",
"86a8e675-f872-42de-ac9c-c73be7c47344","D05","CRAM","CRAM.AOS.riparian.point.03","lake",46.211728,-89.470910,0.1,510.6,0.1,"WGS84","2017-10-09","2017-10-09","CRAM.20171009.03","NEON.DOC.001295vD",,,,"fixed","jhudson@neoninc.org","shoffman@field-ops.org","kstyers@battelleecology.org","radams@battelleecology.org",
"7f1cd46d-adb4-486e-9baa-ec3b42ad15e0","D05","CRAM","CRAM.AOS.riparian.point.05","lake",46.208228,-89.471270,0.1,510.4,0.1,"WGS84","2017-10-09","2017-10-09","CRAM.20171009.05","NEON.DOC.001296vD",,,,"random","jhudson@neoninc.org","hbeeler@battelleecology.org","shoffman@field-ops.org","kstyers@battelleecology.org",
"b2a7c28e-237c-4850-afd7-bd138a8c529b","D05","CRAM","CRAM.AOS.riparian.point.07","lake",46.207433,-89.475220,0.5,514.4,0.6,"WGS84","2017-10-10","2017-10-10","CRAM.20171010.07","NEON.DOC.001295vD",,,,"random","jhudson@neoninc.org","hbeeler@battelleecology.org","kstyers@battelleecology.org","shoffman@field-ops.org",
"00468a30-a17f-4061-a74d-68e41a8533b0","D05","CRAM","CRAM.AOS.riparian.point.06","lake",46.209007,-89.472853,0.4,512.7,0.3,"WGS84","2017-10-10","2017-10-10","CRAM.20171010.06","NEON.DOC.001296vC",,,,"fixed","jhudson@battelleecology.org","hbeeler@battelleecology.org","shoffman@battelleecology.org","kstyers@battelleecology.org",
"70666fc4-f85d-44ce-b792-25ddb70b4883","D05","CRAM","CRAM.AOS.riparian.point.07","lake",46.207433,-89.475220,0.5,514.4,0.6,"WGS84","2017-10-10","2017-10-10","CRAM.20171010.07","NEON.DOC.001296vC",,,,"random","jhudson@battelleecology.org",,,,
"d59a7ba5-fdb7-4e56-9377-3b4693496e60","D05","CRAM","CRAM.AOS.riparian.point.06","lake",46.209007,-89.472853,0.4,512.7,0.3,"WGS84","2017-10-10","2017-10-10","CRAM.20171010.06","NEON.DOC.001295vD",,,,"fixed","jhudson@neoninc.org","hbeeler@battelleecology.org","shoffman@field-ops.org","kstyers@battelleecology.org",
"6c956a54-351d-4cd7-a329-2bfab348003c","D05","CRAM","CRAM.AOS.riparian.point.10","lake",46.209167,-89.477353,0.3,509.7,0.7,"WGS84","2017-10-11","2017-10-11","CRAM.20171011.10","NEON.DOC.001296vC",,,,"fixed","jhudson@battelleecology.org",,,,
"658c018f-5d56-47b5-9a9a-791cbec65da9","D05","CRAM","CRAM.AOS.riparian.point.10","lake",46.209167,-89.477353,0.3,509.7,0.7,"WGS84","2017-10-11","2017-10-11","CRAM.20171011.10","NEON.DOC.001295vD",,,,"fixed","jhudson@neoninc.org","hbeeler@battelleecology.org","shoffman@field-ops.org","kstyers@battelleecology.org",
"d8e31350-e5fa-450b-bb8d-aaf751d204ba","D05","CRAM","CRAM.AOS.riparian.point.09","lake",46.206543,-89.476401,0.1,510.5,0.1,"WGS84","2017-10-11","2017-10-11","CRAM.20171011.09","NEON.DOC.001295vD",,,,"random","jhudson@neoninc.org","hbeeler@battelleecology.org","shoffman@field-ops.org","kstyers@battelleecology.org",
"4c1a7d7c-17e5-493c-a16d-af4dd30f3645","D05","CRAM","CRAM.AOS.riparian.point.09","lake",46.206543,-89.476401,0.1,510.5,0.1,"WGS84","2017-10-11","2017-10-11","CRAM.20171011.09","NEON.DOC.001296vC",,,,"random","jhudson@battelleecology.org","hbeeler@battelleecology.org","shoffman@battelleecology.org","kstyers@battelleecology.org",
